Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
Executive Decision,movie,"Action, Adventure, Thriller",1996,6.5,FALSE
Field of Dreams,movie,"Drama, Family, Fantasy",1989,7.5,FALSE
Taxi,movie,"Action, Comedy, Crime",1998,7,FALSE
Taxi 2,movie,"Action, Comedy, Crime",2000,6.5,FALSE
Taxi 3,movie,"Action, Comedy, Crime",2003,5.8,FALSE
Taxi 4,movie,"Action, Comedy, Crime",2007,5.6,FALSE
The Boat on the Grass,movie,Drama,1971,5.8,FALSE
Asterix at the Olympic Games,movie,"Adventure, Comedy, Family",2008,5.2,FALSE
Joint Security Area,movie,"Action, Drama, Thriller",2000,7.7,FALSE
The Nativity Story,movie,"Adventure, Drama, Family",2006,6.8,FALSE
Tie Me Up! Tie Me Down!,movie,"Comedy, Crime, Drama",1989,7,FALSE
Nobody Knows,movie,Drama,2004,8,FALSE
Spanglish,movie,"Comedy, Drama, Romance",2004,6.4,FALSE
The Aviator,movie,"Biography, Drama",2004,7.5,FALSE
The Specialist,movie,"Action, Drama, Thriller",1994,5.6,FALSE
Two Weeks Notice,movie,"Comedy, Romance",2002,6.2,FALSE
The Game,movie,"Drama, Mystery, Thriller",1997,7.7,FALSE
The Blair Witch Project,movie,"Horror, Mystery",1999,6.5,FALSE
Ringu,movie,"Horror, Mystery",1998,7.2,FALSE
The Other Side of the Bed,movie,"Comedy, Drama, Musical",2002,6.4,FALSE
Indochine,movie,"Drama, Romance, War",1992,7,FALSE
15 Minutes,movie,"Action, Crime, Drama",2001,6.1,FALSE
Addams Family Values,movie,"Comedy, Fantasy",1993,6.8,FALSE
Rumor Has It...,movie,"Comedy, Drama, Romance",2005,5.5,FALSE
Identity,movie,"Mystery, Thriller",2003,7.3,FALSE
Hunting and Gathering,movie,"Drama, Romance",2007,6.7,FALSE
As Good as It Gets,movie,"Comedy, Drama, Romance",1997,7.7,FALSE
The Addams Family,movie,"Comedy, Fantasy",1991,6.9,FALSE
License to Wed,movie,"Comedy, Romance",2007,5.3,FALSE
Hairspray,movie,"Comedy, Drama, Musical",2007,6.7,FALSE
One on Top of the Other,movie,"Horror, Mystery, Thriller",1969,6.6,FALSE
The Man Between,movie,"Crime, Drama, Film-Noir",1953,7,FALSE
